t_s,mode,v_cmd_mps,omega_cmd_radps,delta_v_cmd_mps,v_left_est_mps,v_right_est_mps,rpm_front_left,rpm_rear_left,rpm_front_right,rpm_rear_right,epsilon_x_mm,epsilon_y_mm,theta_rad,curvature_inv_mm,confidence,e_x_m_filtered,theta_rad_filtered,de_x_f,dtheta_f,kappa_m,gamma,v_target_mps,omega_pp_radps,omega_pd_radps,omega_target_radps,delta_v_target_mps,error_age_s
0.7030186653137207,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
0.7392067909240723,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
0.7633724212646484,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
0.7913546562194824,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
0.8153486251831055,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
0.8631048202514648,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
0.8852748870849609,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
0.9368081092834473,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
0.9659590721130371,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
1.005852222442627,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
1.0589721202850342,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
1.079554796218872,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
1.1154758930206299,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
1.1665170192718506,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
1.1961443424224854,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
1.2262468338012695,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
1.2519910335540771,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
1.2808310985565186,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
1.3179962635040283,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
1.346191644668579,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
1.4019718170166016,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
1.432102918624878,no_control_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,-1.0
1.4601387977600098,tracking_pure_pursuit_pd_mainlane,0.0035120773315429686,0.0,0.0,0.0035120773315429686,0.0035120773315429686,1.031934402158874,1.031934402158874,1.031934402158874,1.031934402158874,1.6,120.0,0.013000000000000001,-0.0025369999999999998,1.0,0.0,0.00234,0.0,0.019988170354198573,-2.537,-0.0,0.0663392107072608,-0.0,-0.0006747053628335886,0.0,0.0,0.027796030044555664
1.479825735092163,tracking_pure_pursuit_pd_mainlane,0.005844268798828125,0.0,0.0,0.005844268798828125,0.005844268798828125,1.717189418014578,1.717189418014578,1.717189418014578,1.717189418014578,1.6,120.0,0.013000000000000001,-0.0025369999999999998,1.0,0.0,0.0042588,0.0,0.03967349231739337,-2.537,-0.0,0.06633879072077663,-0.0,-0.001254323938539147,0.0,0.0,0.04748702049255371
1.5245685577392578,tracking_pure_pursuit_pd_mainlane,0.011240100860595702,0.0,0.0,0.011240100860595702,0.011240100860595702,3.3026171313512727,3.3026171313512727,3.3026171313512727,3.3026171313512727,1.6,120.0,0.013000000000000001,-0.0025369999999999998,1.0,0.0,0.005832216,0.0,0.0385030712609509,-2.537,-0.0,0.0663382640756583,-0.0,-0.0015911120900876073,0.0,0.0,0.09223031997680664
1.5562005043029785,tracking_pure_pursuit_pd_mainlane,0.015029067993164062,0.0,0.0,0.015029067993164062,0.015029067993164062,4.415908543710003,4.415908543710003,4.415908543710003,4.415908543710003,1.6,120.0,0.013000000000000001,-0.0025369999999999998,1.0,0.0,0.007122417120000001,0.0,0.03909276118017049,-2.537,-0.0,0.06633770967854649,-0.0,-0.0018796738558413642,0.0,0.0,0.12385678291320801
1.5830378532409668,tracking_pure_pursuit_pd_mainlane,0.01825770378112793,0.0,0.0,0.01825770378112793,0.01825770378112793,5.364560873121411,5.364560873121411,5.364560873121411,5.364560873121411,1.6,120.0,0.013000000000000001,-0.0025369999999999998,1.0,0.0,0.008180382038400002,0.0,0.039150022393570114,-2.537,-0.0,0.06633717267224627,-0.0,-0.002112884227596561,0.0,0.0,0.15069913864135742
