t_s,source,x_right_m,y_forward_m,theta_rad,theta_deg,odom_available
2.6494803428649902,dead_reckoning,0.0,0.008592374755114632,0.0,0.0,False
2.718147039413452,dead_reckoning,0.0,0.011874713282040828,0.0,0.0,False
2.7584068775177,dead_reckoning,0.0,0.01392564126696925,0.0,0.0,False
2.7953009605407715,dead_reckoning,0.0,0.015972113227903716,0.0,0.0,False
2.837263822555542,dead_reckoning,0.0,0.01850094882348912,0.0,0.0,False
2.874800682067871,dead_reckoning,0.0,0.020724758157850826,0.0,0.0,False
2.9102909564971924,dead_reckoning,0.0,0.023351761034693934,0.0,0.0,False
2.9533262252807617,dead_reckoning,0.0,0.026378972055399567,0.0,0.0,False
2.9897472858428955,dead_reckoning,0.0,0.029428502548298634,0.0,0.0,False
3.0256354808807373,dead_reckoning,0.0,0.03241318349000266,0.0,0.0,False
3.046727418899536,dead_reckoning,0.0,0.034235425595788904,0.0,0.0,False
3.0825517177581787,dead_reckoning,0.0,0.03742843230185826,0.0,0.0,False
3.1203365325927734,dead_reckoning,0.0,0.04096747744548792,0.0,0.0,False
3.1578314304351807,dead_reckoning,0.0,0.04459564020599086,0.0,0.0,False
3.1923890113830566,dead_reckoning,0.0,0.047931455281267396,0.0,0.0,False
3.231882333755493,dead_reckoning,0.0,0.05174137314592352,0.0,0.0,False
3.2800774574279785,dead_reckoning,0.0,0.05602890941701806,0.0,0.0,False
3.3129327297210693,dead_reckoning,0.0,0.05957777548163824,0.0,0.0,False
3.350759506225586,dead_reckoning,0.0,0.06319654028542833,0.0,0.0,False
3.393357992172241,dead_reckoning,0.0,0.06728678839922082,0.0,0.0,False
3.4260268211364746,dead_reckoning,0.0,0.07043292099854484,0.0,0.0,False
3.4642930030822754,dead_reckoning,0.0,0.07410184653461892,0.0,0.0,False
3.5038492679595947,dead_reckoning,0.0,0.07793150240616095,0.0,0.0,False
3.5438976287841797,dead_reckoning,0.0,0.08178960490462354,0.0,0.0,False
3.564621925354004,dead_reckoning,0.0,0.08380451303712518,0.0,0.0,False
3.5783731937408447,dead_reckoning,0.0,0.08516432154644007,0.0,0.0,False
3.612379312515259,dead_reckoning,0.0,0.08840073427271956,0.0,0.0,False
3.652672290802002,dead_reckoning,0.0,0.09202572608450277,0.0,0.0,False
3.6984810829162598,dead_reckoning,0.0,0.09653695210767457,0.0,0.0,False
3.724957227706909,dead_reckoning,0.0,0.09928120142360553,0.0,0.0,False
3.7575266361236572,dead_reckoning,0.0,0.10239642876185671,0.0,0.0,False
3.7874655723571777,dead_reckoning,0.0,0.10527650038128317,0.0,0.0,False
3.8199875354766846,dead_reckoning,0.0,0.10842628646500166,0.0,0.0,False
3.8523433208465576,dead_reckoning,0.0,0.11155796597197265,0.0,0.0,False
3.9065070152282715,dead_reckoning,0.0,0.11674416749255274,0.0,0.0,False
3.9531984329223633,dead_reckoning,0.0,0.12128657451146865,0.0,0.0,False
