t_s,mode,v_cmd_mps,omega_cmd_radps,delta_v_cmd_mps,v_left_est_mps,v_right_est_mps,rpm_front_left,rpm_rear_left,rpm_front_right,rpm_rear_right,epsilon_x_mm,epsilon_y_mm,theta_rad,curvature_inv_mm,confidence,e_x_m_filtered,theta_rad_filtered,de_x_f,dtheta_f,kappa_m,gamma,v_target_mps,omega_pp_radps,omega_pd_radps,omega_target_radps,delta_v_target_mps,error_age_s
0.8574099540710449,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.5570673942565918
0.8889980316162109,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.588768482208252
0.9161956310272217,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.6159255504608154
0.9481284618377686,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.6477608680725098
0.9833176136016846,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.6830015182495117
1.0187442302703857,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.7186119556427002
1.0495238304138184,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.7491624355316162
1.0841889381408691,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.7838430404663086
1.1159601211547852,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.8156101703643799
1.1502628326416016,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.849968433380127
1.1973474025726318,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.8970110416412354
1.2284185886383057,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.9280362129211426
1.2533447742462158,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.9530637264251709
1.2831974029541016,waiting_for_enter_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,120.0,-0.002,-0.001888,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.9842057228088379
